"","node","dca","x","y"
"1",1,"T22",420345.065118428,4032677.13868903
"2",2,"T22",420152.580486243,4033280.84048997
"3",3,"T22",420931.268316444,4033328.96164802
"4",4,"T22",421321.400326954,4033571.42955628
"5",1,"T20",422598.010245133,4032007.81712711
"6",2,"T20",422698.627211957,4031635.97181494
"7",3,"T20",422151.795870523,4030586.05563939
"8",1,"T15",418610.463509667,4028497.5967282
"9",2,"T15",418511.78605507,4028736.06724347
"10",3,"T15",418411.602946436,4028919.08446111
"11",1,"T10-3a",414526.655935566,4027868.52795514
"12",2,"T10-3a",414156.615480827,4027732.84645507
"13",3,"T10-3a",413909.921844335,4025890.8673026
"14",4,"T10-3a",414933.700435778,4027194.2320154
"15",1,"T10-1a",417505.481596212,4024233.90837749
"16",2,"T10-1a",417287.568883977,4023921.42977126
"17",1,"T35-3",410778.968441185,4041849.88980335
"18",2,"T35-3",411223.016986872,4041841.66668213
"19",1,"T2-1c",409570.322044947,4018530.93736647
"20",2,"T2-1c",410014.218168059,4018409.88277596
"21",5,"T2-1c",410864.504223281,4018567.86566197
"22",1,"T32-2",415380.488013711,4042133.34625539
"23",5,"T32-2",415257.444575191,4043016.67771359
"24",8,"T32-2",415633.420025211,4042395.00006039
"25",13,"T32-2",415472.066845461,4043546.27680239
"26",14,"T32-2",416126.201357962,4043733.79536264
"27",15,"T32-2",415411.014290961,4043690.18639514
"28",10,"T32-2",415999.735352212,4043254.09672014
"29",12,"T32-2",416448.907717463,4043001.16470864
"30",19,"T32-2",417137.929403964,4042983.72112164
"31",18,"T32-2",414957.48102896,4044523.1176744
"32",17,"T32-2",415044.69896396,4044470.7869134
"33",16,"T32-2",415432.818774711,4043803.56971064
"34",20,"T32-2",414983.64640946,4044636.5009899
"35",21,"T32-2",414346.955483959,4044762.96699565
"36",22,"T32-2",413775.678009707,4044762.96699565
"37",23,"T32-2",414264.098445708,4044579.80933215
"38",24,"T32-2",413452.971650207,4044981.01183315
"39",25,"T32-2",413221.844122456,4044797.85416965
"40",26,"T32-2",413514.024204707,4044815.29775665
"41",27,"T32-2",412829.363414956,4044985.3727299
"42",4,"T2-1c",410585.085998754,4018226.42488335
"43",3,"T2-1c",410095.478519793,4018354.49727554
"44",11,"T32-2",416345.695364057,4043079.07668069
"45",9,"T32-2",415721.25260674,4043218.81770695
"46",1,"T37-2",408269.46256673,4035785.39363039
"47",2,"T37-2",408142.098602802,4035576.18135108
"48",6,"T32-2",415289.224426138,4043072.90943696
"49",7,"T32-2",415310.639941728,4043014.01676909
"50",2,"T32-2",415206.27908373,4042510.29500646
"51",3,"T32-2",415102.437283632,4042443.98638712
"52",4,"T32-2",415132.463828239,4042894.38455622
"53",1,"T37-2a",408976.649186201,4039340.37372161
"54",2,"T37-2a",409157.392429002,4038395.57949787
